,ds,y
1069,2020-12-05,319531433
1070,2020-12-06,335022634
1071,2020-12-07,331909421
1072,2020-12-08,322846018
1073,2020-12-09,320147288
1074,2020-12-10,315496668
1075,2020-12-11,316247427
1076,2020-12-12,321650014
1077,2020-12-13,336655524
1078,2020-12-14,338905170
1079,2020-12-15,318706155
1080,2020-12-16,326584857
1081,2020-12-17,308614514
1082,2020-12-18,306301192
1083,2020-12-19,305222076
1084,2020-12-20,320764286
1085,2020-12-21,308419905
1086,2020-12-22,305163975
1087,2020-12-23,300152536
1088,2020-12-24,292411425
1089,2020-12-25,296889167
1090,2020-12-26,319552715
1091,2020-12-27,335627774
1092,2020-12-28,329616430
1093,2020-12-29,324995439
1094,2020-12-30,319973683
1095,2020-12-31,303485802
1096,2021-01-01,320916982
